0,1,2
177.0,978.9877318539205,112.0
178.0,985.8471344663784,78.0
179.0,943.5427685541297,196.0
180.0,893.3656625907336,464.0
181.0,870.8835968069019,444.0
182.0,983.8256846735417,69.0
183.0,-388.23157466774677,-100.0
184.0,952.0563607064652,216.0
185.0,989.4167791490394,44.0
186.0,920.8958822841191,316.0
187.0,-377.32844836338074,-100.0
188.0,-407.3696711540104,-100.0
189.0,978.7223314614773,77.0
190.0,-393.1588690197362,-100.0
191.0,991.6274331309685,34.0
192.0,-370.0208491379898,-100.0
193.0,989.0033623330368,38.0
194.0,926.381425690003,277.0
195.0,999.8226427280166,40.0
196.0,971.5893832548359,116.0
197.0,997.8664801203207,31.0
198.0,941.0839851896284,232.0
199.0,967.7247735379858,196.0
200.0,985.6483943324542,56.0
201.0,-342.21978940532364,-100.0
202.0,825.0808344018269,530.0
203.0,987.8253673419855,46.0
204.0,978.0630429007994,89.0
205.0,935.8697297793235,303.0
206.0,906.2035695854462,304.0
207.0,988.5689662509178,45.0
208.0,-377.5627123905261,-100.0
209.0,861.2575565171942,472.0
210.0,980.3854361423813,80.0
211.0,958.4990225048364,134.0
212.0,926.2262888257075,253.0
213.0,-363.97534614785394,-100.0
214.0,954.4872978394891,196.0
215.0,979.7990059375568,90.0
216.0,965.1144581008956,114.0
217.0,947.1088738823569,192.0
218.0,1008.1966624992327,30.0
219.0,945.1794815180918,176.0
220.0,964.6926443544544,168.0
221.0,885.3325451098243,389.0
222.0,859.5113253312146,436.0
223.0,925.3751187844722,283.0
224.0,880.9382145715267,404.0
225.0,843.6524164238308,533.0
226.0,885.9959636558318,488.0
227.0,871.0015530098005,435.0
228.0,991.5232034101672,34.0
229.0,990.4367517160268,60.0
230.0,956.5816074074654,148.0
231.0,953.1297627104067,171.0
232.0,-381.88153583178456,-100.0
233.0,954.600159099769,163.0
234.0,926.1693854969435,328.0
235.0,985.5073622281479,113.0
236.0,-368.00029617299003,-100.0
237.0,-379.2720915556153,-100.0
238.0,992.9126144257694,37.0
239.0,1001.7614605891691,4.0
240.0,983.649577772561,73.0
241.0,859.9477041160272,461.0
242.0,978.9371448538448,95.0
243.0,904.6489710494459,303.0
244.0,912.3623776507105,340.0
245.0,988.2499965415202,60.0
246.0,935.0141767033375,251.0
247.0,899.9833610734229,338.0
248.0,885.1061130957902,436.0
249.0,987.0965592263212,73.0
250.0,899.6116662570807,415.0
251.0,934.6746623001646,307.0
252.0,926.8035383900144,416.0
253.0,978.2252016773525,155.0
254.0,869.1610295985364,425.0
255.0,978.3778566775729,127.0
256.0,936.3120635620251,194.0
257.0,973.9588067634544,102.0
258.0,913.2577272196985,362.0
259.0,993.8730708145182,42.0
260.0,985.3973066186696,59.0
261.0,882.4958238275648,414.0
262.0,-349.3325130374513,-100.0
263.0,964.6380007858697,156.0
264.0,-385.2832721873691,-100.0
265.0,969.569396068852,101.0
266.0,-379.34522532974756,-100.0
267.0,946.2022780058223,183.0
268.0,996.3616199899101,21.0
269.0,-381.8614007976264,-100.0
270.0,-374.0193093207835,-100.0
271.0,959.2231132185178,142.0
272.0,-395.9301810669405,-100.0
273.0,983.339452380608,60.0
274.0,951.4536602349758,151.0
275.0,937.3696497553086,333.0
276.0,999.225338676409,24.0
277.0,-382.27391004701093,-100.0
278.0,997.8433168308364,16.0
279.0,-382.8665025905981,-100.0
280.0,1001.180914803584,5.0
281.0,929.6546943764272,239.0
282.0,999.9756476820512,9.0
283.0,930.3438524927939,264.0
284.0,933.4470472677767,292.0
285.0,915.7275482663767,352.0
286.0,-369.8901604325492,-100.0
287.0,-379.00168249271843,-100.0
288.0,923.0212477368725,304.0
289.0,-393.9404959801231,-100.0
290.0,998.1962366427111,17.0
291.0,-388.72931068688536,-100.0
292.0,927.2443216772504,243.0
293.0,930.5992242012657,250.0
294.0,978.7571532154375,77.0
295.0,870.687268828707,542.0
296.0,-381.98451178741107,-100.0
297.0,-373.4506063612539,-100.0
298.0,-373.2575801829027,-100.0
299.0,959.7281896708042,138.0
300.0,943.5803970335005,211.0
301.0,-369.4689498536948,-100.0
302.0,984.8062419217233,54.0
303.0,994.8480233383127,31.0
304.0,959.2885071466069,157.0
305.0,988.68198166447,110.0
306.0,-374.95902941879865,-100.0
307.0,887.8159200987099,386.0
308.0,977.0563159840183,100.0
309.0,-368.3430669167756,-100.0
310.0,961.541100713889,153.0
311.0,939.225393923639,231.0
312.0,957.4282690363269,162.0
313.0,992.1676994074363,73.0
314.0,946.6211547770822,182.0
315.0,935.1172081263545,215.0
316.0,929.5982978947412,238.0
317.0,912.9290773741585,282.0
318.0,-372.3231340786205,-100.0
319.0,-384.8819070026898,-100.0
320.0,973.8858133688174,101.0
321.0,938.5662006181466,232.0
322.0,-349.37149395864867,-100.0
323.0,971.8105553141489,106.0
324.0,946.4317335657249,192.0
325.0,-377.2650703316905,-100.0
326.0,-395.03312618374457,-100.0
327.0,-400.38557699318994,-100.0
328.0,943.5368402711803,199.0
329.0,974.0941856298867,100.0
330.0,-387.45212819076573,-100.0
331.0,967.9903406783942,132.0
332.0,845.2227314398065,598.0
333.0,990.0620253408329,54.0
334.0,912.747394979895,410.0
335.0,-384.8893941394777,-100.0
336.0,975.0736204926598,125.0
337.0,870.6960745591203,550.0
338.0,-382.32035073875267,-100.0
339.0,997.5829776715,63.0
340.0,935.9520890499576,247.0
341.0,986.0170361984239,84.0
342.0,-354.65907239236145,-100.0
343.0,848.8929185539944,504.0
344.0,-379.6860943845854,-100.0
345.0,-380.07503614397893,-100.0
346.0,958.6450087899636,149.0
